Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
incia-natural-baby-oil,INCIA Natural Baby Oil,"<p>INCIA Natural Baby Oil is a 100% natural, hypoallergenic oil specially formulated for newborns and babies with sensitive skin. Made from a blend of evening primrose, calendula, and apricot kernel oils — all cold-pressed for maximum potency — this gentle baby oil nourishes, moisturises and protects delicate skin without any harsh chemicals, parabens or synthetic fragrances. Key benefits:- Deeply moisturising and nourishing for newborn and baby skin- Hypoallergenic and dermatologically tested — safe for sensitive skin- Soothes eczema, cradle cap, itching and irritation- Free from BHT, BHA and synthetic antioxidants- Suitable as bath oil, hair oil and massage oil- Vegan and cruelty-free Why choose a natural baby oil? A baby's skin is far more sensitive than adult skin and absorbs what is applied to it. Many baby oils on the market contain chemical fillers and synthetic ingredients. INCIA uses only natural plant-based oils and vitamin E (tocopherol) as a natural antioxidant — no synthetic substitutes. The rich blend of olive oil, calendula, sesame, wheat germ, sweet almond and jojoba oils creates a protective barrier on the skin while deeply nourishing from within. Perfect for daily baby massage, post-bath moisturising and soothing cradle cap on the scalp. Safe for babies, children and adults alike.</p>",INCIA,Mom & Baby Care,mom-baby-care,TRUE,Title,Default Title,MINC-000033,,continue,manual,10,TRUE,TRUE,https://static.wixstatic.com/media/bf3c53_73865b59b1f94ed6a43b9303fdcf3217~mv2.png,1,active
incia-natural-baby-oil,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_098c7b91fd0b4e53bf103b32a41a37cc~mv2.png,2,
incia-natural-baby-oil,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_3b55ae2c79fc4dd3a3400a00c0c82cb9~mv2.webp,3,
incia-natural-baby-oil,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_f9e5320422c44755aced5cc59cd12505~mv2.webp,4,
incia-natural-baby-oil,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_477e0c46b3e242cd9e42cc6efe06f1a1~mv2.jpg,5,
incia-natural-baby-oil,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_edd7ae99b74b46ad933fab606b22aed6~mv2.jpg,6,
incia-natural-baby-oil,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_277aec48b2144af3be62f6e281430e90~mv2.jpg,7,
incia-natural-baby-oil,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_f8119ea32b304345abaa7d21b0d805a5~mv2.jpg,8,
incia-natural-baby-kids-shampoo-without-sulfates-and-parabens,INCIA Natural Baby & Kids Shampoo without Sulfates and Parabens,"<p>INCIA Natural Baby &amp; Kids Shampoo — Sulphate-Free, Paraben-Free Shampoo for Delicate Hair Give your little one's hair the gentle care it deserves with INCIA Natural Baby &amp; Kids Shampoo. This 100% natural, sulphate-free shampoo is specially formulated for babies and children's delicate scalps — cleansing gently without disrupting the skin's natural microbiome. Free from sulphates, parabens, synthetic fragrances and harsh chemicals, it can also be used as a gentle body wash. Key Benefits:• Sulphate-free and paraben-free — safe for babies from newborn age• Plant-based surfactants (decyl glucoside, lauryl glucoside) — extremely gentle cleansing• Gel formula for easy dosing — no waste, precise application• Compatible with the skin's natural flora — does not disrupt the scalp microbiome• Soothes and nourishes dry, flaky scalps• Can be used as both shampoo and gentle body wash• Free from synthetic fragrances, mineral oils and artificial colours• Cruelty-free and suitable for sensitive and eczema-prone skin Why Choose INCIA Baby &amp; Kids Shampoo?Many children's shampoos labelled ""gentle"" or ""tear-free"" still contain sulphates that strip the scalp of natural oils and synthetic fragrances that can sensitise young skin. INCIA uses only plant-derived cleansers that work with the skin's natural balance — leaving hair clean and scalp healthy without the harmful residue. The ideal daily shampoo for babies and children with sensitive or dry scalps. Available in 275ml.</p>",INCIA,Mom & Baby Care,mom-baby-care,TRUE,Title,Default Title,MINC-000106,,continue,manual,11,TRUE,TRUE,https://static.wixstatic.com/media/bf3c53_09a5ad5ecf924efb8143dee5ace21e63~mv2.webp,1,active
incia-natural-baby-kids-shampoo-without-sulfates-and-parabens,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_9909e50588ea46ada8f0c9f8b4f119c2~mv2.webp,2,
incia-natural-baby-kids-shampoo-without-sulfates-and-parabens,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_3e4f1c0dbac3435cbc33eff290517bfa~mv2.webp,3,
incia-natural-baby-kids-shampoo-without-sulfates-and-parabens,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_5c41dea8732a47e885710d2ece93f9f1f002.jpg,4,
incia-preventive-and-natural-diaper-rash-gel,INCIA Preventive and Natural Diaper Rash Gel,"<p>INCIA Preventive and Natural Diaper Rash Gel is a 100% natural nappy rash cream formulated with the softest, most sensitive baby skin in mind. With an improved water-based formula for lighter texture and faster absorption, this gentle gel soothes redness, relieves irritation and helps restore the natural skin barrier — making nappy changes kinder on your baby. Key benefits:- Helps relieve and prevent nappy rash (diaper rash)- Hypoallergenic and dermatologically tested- Soothes redness and irritation with natural oils and shea butter- Contains St. John's Wort oil — ideal for minor grazes and bumps- New water-based formula absorbs quickly, no greasy residue- 100% natural and now fully vegan- Cruelty-free Nappy rash affects most babies at some point — caused by prolonged contact with urine or faeces, friction or sensitive skin. INCIA's formula uses Centella Asiatica extract (asiaticoside, madecassic acid), sea buckthorn oil, calendula oil and jojoba oil to nourish, protect and speed up the skin's natural recovery. The mild Zinc PCA content helps calm redness without the heavy, occlusive feeling of traditional zinc oxide nappy creams. Also works as a gentle first-aid cream for toddlers' scrapes and minor skin irritations. Apply a thin layer to clean, dry skin at each nappy change. 60ml tube.</p>",INCIA,Mom & Baby Care,mom-baby-care,TRUE,Title,Default Title,MINC-000103,,continue,manual,10,TRUE,TRUE,https://static.wixstatic.com/media/bf3c53_638f6248847b41c3a6a7eebe17502633~mv2.png,1,active
incia-preventive-and-natural-diaper-rash-gel,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_6ec34f58a17443b58837ad1f56385580~mv2.png,2,
incia-preventive-and-natural-diaper-rash-gel,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_dcf258123b544e73a5deff1e39c85b63~mv2.webp,3,
incia-preventive-and-natural-diaper-rash-gel,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_8e26a6a464aa4c76bf57fe762ae8ad61~mv2.jpg,4,
incia-preventive-and-natural-diaper-rash-gel,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_3e6e581ebb6043259801c67467f35e15~mv2.jpg,5,
incia-preventive-and-natural-diaper-rash-gel,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_410686e19409453bb97608d23af678c1~mv2.jpg,6,
incia-preventive-and-natural-diaper-rash-gel,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_1b0ee77998a44790bb94b74e167d418b~mv2.jpg,7,
incia-preventive-and-natural-diaper-rash-gel,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_7cf31196e53f4080802843d645696759~mv2.webp,8,
incia-natural-deodorant-for-sensitive-skin,INCIA Natural Deodorant for Sensitive Skin,"<p>INCIA Natural Deodorant for Sensitive Skin is a 100% natural roll-on deodorant specially formulated for those with sensitive or easily irritated underarms. Powered by potassium alum (a natural mineral salt) and soothing aloe vera, it neutralises odour-causing bacteria without blocking pores, leaving you feeling fresh all day. Key benefits:- Natural mineral salt (alum) — powerful antibacterial action without synthetic aluminium- Aloe vera soothes and hydrates sensitive underarm skin- Does not clog pores — allows natural perspiration- No stains on clothing- Safe to use during pregnancy and breastfeeding- Can be applied immediately after shaving- Free from alcohol, parabens and synthetic fragrances- Cruelty-free and vegan Why natural deodorant? Body odour is caused when sweat mixes with bacteria — not by sweat itself. Conventional deodorants often contain synthetic aluminium salts that block sweat glands entirely and can irritate sensitive skin. INCIA's alum-based formula works by creating an antibacterial environment that prevents odour at the source, without harsh chemicals. Aloe vera in this formula has anti-inflammatory and hydrating properties, making it ideal for skin that is prone to irritation from shaving or friction. For best results, apply the evening before on clean, dry underarms. 50ml roll-on.</p>",INCIA,Personal Care,personal-care,TRUE,Title,Default Title,MINC-000081,,continue,manual,5.95,TRUE,TRUE,https://static.wixstatic.com/media/bf3c53_30cb7925a39940f3851cb835b2c65c57~mv2.png,1,active
incia-natural-deodorant-for-sensitive-skin,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_d7a937753ba04d5e9e6ac13d0118eafd~mv2.webp,2,
incia-natural-deodorant-for-sensitive-skin,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_3f63a6bb7a204965ad128ad9ade77c05~mv2.webp,3,
incia-natural-deodorant-for-sensitive-skin,,,,,,,,,,,,,,,,https://static.wixstatic.com/media/bf3c53_947bacb7742948e2968269be13705b9d~mv2.webp,4,
