Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
incia-100-natural-easy-combing-spray,INCIA Natural Easy Combing Spray,"<p>INCIA Natural Easy Combing Spray — Detangling Spray for Kids with Sensitive Scalps Say goodbye to painful hair brushing with INCIA Natural Easy Combing Spray. This gentle, no-rinse detangling spray is specially formulated for children's fine, delicate hair — making combing quick, painless and tear-free. Enriched with PCA Ethyl Cocoyl Arginate (derived from coconut oil) and amino acids, it conditions, softens and hydrates hair while leaving a beautiful, light fruity fragrance.</p>
<h3>Key Benefits</h3><ul>
  <li>Detangles knots effortlessly — no more tears at brushing time</li>
  <li>No-rinse formula — spray on wet or dry hair, comb through and go</li>
  <li>PCA Ethyl Cocoyl Arginate from coconut oil conditions and hydrates</li>
  <li>Adds softness and shine without weighing fine hair down</li>
  <li>Free from petrochemicals, silicones, artificial colours and alcohol</li>
  <li>Pleasant, natural fruity and floral fragrance</li>
  <li>100% recyclable packaging — eco-conscious family care</li>
  <li>Suitable for all hair types including sensitive scalps Why Choose INCIA Easy Combing Spray?Most children's detangling sprays contain silicones and synthetic chemicals that coat the hair temporarily. INCIA uses natural, plant-derived actives to truly condition and soften hair, reducing breakage and making brushing a pleasure for both parent and child. Free from harsh chemicals and designed with sensitive young scalps in mind</li>
</ul>
<p><em>Available in 100ml.</em></p>",INCIA,Beauty & Personal Care,Personal Care,,TRUE,MINC-000117,8.00,,,,TRUE,TRUE,,,active
incia-cream-for-dry-skin,INCIA Intensive Repair Care Cream for Dry Skin,"<p>INCIA Intensive Repair Care Cream for Dry Skin — 100% Natural Moisturiser for Very Dry & Chapped Skin Deeply repair and restore even the most severely dry skin with INCIA Intensive Repair Care Cream. This 100% natural, paraben-free moisturising cream is specially formulated to work with your skin's natural barrier — not against it. Free from paraffin and alcohol that suffocate pores or dry out skin, this clean formula supports the skin's natural self-repair process while delivering intensive, long-lasting moisture.</p>
<h3>Key Benefits</h3><ul>
  <li>Intensively moisturises and repairs very dry, chapped and dehydrated skin</li>
  <li>Does not contain paraffin or alcohol — does not suffocate or dry out skin</li>
  <li>Supports the skin's natural flora and barrier function</li>
  <li>Stimulates the skin's natural self-repairing ability</li>
  <li>Suitable for dry areas: hands, elbows, heels, knees and face</li>
  <li>Free from parabens, mineral oils, synthetic fragrances and artificial preservatives</li>
  <li>Suitable for adults, children and sensitive skin types</li>
  <li>Cruelty-free Why Choose INCIA Intensive Repair Cream?Most standard moisturising creams contain paraffin (mineral oil) which creates a temporary occlusive layer that can clog pores and disrupt skin microbiome, or alcohol which dries out the skin over time. INCIA's natural formula genuinely nourishes and repairs by supporting the skin's natural barrier function without any of these harmful additives. Ideal for UK winters when skin needs real repair, not just temporary comfort</li>
</ul>
<p><em>Available in 50ml tube.</em></p>",INCIA,Beauty & Personal Care,Personal Care,,TRUE,MINC-000100,9.00,,,,TRUE,TRUE,,,active
incia-cream-for-dry-skin-and-eczema,INCIA Nourishing and Hydrating Gel for Dry Skin,"<p>INCIA Nourishing and Hydrating Gel for Dry Skin — Rich Natural Moisturiser with Shea Butter & Asiatic Acid Rescue and restore dry, dehydrated skin with INCIA Nourishing and Hydrating Gel. This 100% natural, multi-purpose moisturising gel is enriched with a powerful blend of olive oil, beeswax, shea butter, St. John's Wort oil and asiatic acid — working together to deeply nourish, protect and regenerate even the driest, most sensitive skin. Suitable for babies, children and adults alike.</p>
<h3>Key Benefits</h3><ul>
  <li>Shea butter — rich in vitamins A and E, stimulates cell renewal and deep nourishment</li>
  <li>Beeswax — hydrating and anti-inflammatory, forms a protective barrier on the skin</li>
  <li>Asiatic acid — used in traditional medicine for centuries, supports new skin cell production</li>
  <li>St. John's Wort oil — calming and healing for irritated, sensitive skin</li>
  <li>Olive oil and soy glycerides — deeply moisturising without clogging pores</li>
  <li>Suitable for babies, sensitive skin, dry skin and eczema-prone skin</li>
  <li>Free from parabens, mineral oils, synthetic fragrances and artificial preservatives Why Choose INCIA Nourishing Gel?Dry skin needs more than just surface hydration — it needs a blend of nourishing oils and actives that work deep within the skin's layers. INCIA combines traditional healing ingredients like asiatic acid and St. John's Wort with proven skin-nourishing oils and beeswax to create a formula that genuinely repairs and protects dry skin, not just temporarily masks dryness</li>
</ul>
<p><em>Available in 150ml.</em></p>",INCIA,Beauty & Personal Care,Personal Care,,TRUE,MINC-000112,9.00,,,,TRUE,TRUE,,,active
incia-eyelash-serum-for-eyelashes-and-eyebrows,INCIA Eyelash Serum for Eyelashes and Eyebrows,"<p>INCIA Eyelash Serum for Eyelashes and Eyebrows is a 100% natural serum that promotes fuller, longer lashes and thicker, more defined eyebrows. Powered by cold-pressed plant oils rich in fatty acids, vitamins and antioxidants, this serum nourishes the hair follicles to create the ideal conditions for healthy lash and brow growth.</p>
<h3>Key Benefits</h3><ul>
  <li>- Promotes fuller, longer eyelashes- Also works as a natural eyebrow serum- 100% natural with cold-pressed plant oils- Contains castor oil (known as ""wonder oil"") for intensive moisture and growth stimulation- Argan oil, sesame oil, apricot kernel oil and sweet almond oil nourish hair roots- Helps prevent lash and brow thinning and breakage- Safe for use during pregnancy and breastfeeding- Cruelty-free and vegan The science of lash growth: Every lash and brow hair grows from a follicle beneath the skin. Nourishing the follicle is the key to promoting healthy growth. Castor oil, the star ingredient in this serum, is uniquely rich in ricinoleic acid — a fatty acid that locks in moisture, conditions the hair and stimulates the hair root. Combined with antioxidant-rich sesame oil, vitamin E-packed sweet almond oil and the rejuvenating properties of argan oil, this serum delivers results visible in as little as 1-3 weeks. Apply one drop with the pipette to clean lashes and brows each evening. 10ml</li>
</ul>",INCIA,Beauty & Personal Care,Personal Care,personal-care,TRUE,MINC-000019,12.00,,,,TRUE,TRUE,,,active
incia-feminine-intimate-wash-foam,INCIA Feminine Intimate Wash Foam 200ml,"<p>INCIA Feminine Intimate Wash Foam 200ml — pH-Balanced Natural Intimate Cleanser Care for your intimate health with INCIA Feminine Intimate Wash Foam — a gentle, pH-balanced formula specifically designed for the sensitive external intimate area. With an optimal pH of 3.8, this soothing foam cleanser works in harmony with the body's natural microflora, offering thorough yet gentle daily cleansing. Enriched with aloe vera, lavender oil, and sea-sourced Saccharide Isomerate for lasting comfort and freshness.</p>
<h3>Key Benefits</h3><ul>
  <li>pH 3.8 formula perfectly matched to intimate skin's natural balance</li>
  <li>Protects and supports healthy intimate microflora</li>
  <li>Soothing aloe vera and lavender oil calm sensitive skin</li>
  <li>Saccharide Isomerate provides long-lasting moisture and comfort</li>
  <li>Gentle foaming action for thorough yet delicate cleansing</li>
  <li>Free from parabens, sulphates, synthetic fragrances, and harsh chemicals</li>
  <li>Dermatologically tested and suitable for daily use</li>
  <li>Suitable for all stages of a woman's life Why Choose INCIA Intimate Wash?Many mainstream intimate wash products contain sulphates and artificial fragrances that disrupt the intimate area's delicate pH balance, leading to irritation and discomfort. INCIA uses only naturally derived, dermatologically tested ingredients that cleanse gently without disturbing the body's natural defences — a thoughtful, clean alternative trusted by women seeking natural personal care in the UK</li>
</ul>
<p><em>Available in 200ml pump bottle.</em></p>",INCIA,Beauty & Personal Care,Personal Care,personal-care,TRUE,MINC-000109,11.00,,,,TRUE,TRUE,,,active
incia-foaming-facial-cleanser,INCIA Foaming Facial Cleanser,"<p>INCIA Foaming Facial Cleanser is a 100% natural, gentle face wash that cleanses, nourishes and hydrates your skin in one easy step. Made with Super-Fat technology, just one pump creates a rich, foamy lather that removes dirt, impurities and even make-up — without stripping your skin's natural oils or drying it out.</p>
<h3>Key Benefits</h3><ul>
  <li>- 100% natural face wash — no SLS or SLES- Works as both a cleanser and make-up remover- Hydrates while cleansing — suitable for sensitive and dry skin- Super-Fat technology preserves the skin's natural sebum layer- Contains squalane, olive oil, tea tree oil and plant-based glycerine- Gives skin a healthy glow- Free from synthetic colours and fragrances- Cruelty-free and vegan Why it's different: Most conventional face washes strip the skin's natural tallow layer with harsh surfactants like SLS. INCIA's Super-Fat technology intentionally retains a maximum amount of natural oil during the cleansing process, keeping your skin barrier intact. The formula features olive oil and coconut oil to dissolve impurities, squalane (naturally present in skin) for deep nourishment, and tea tree oil for its powerful antibacterial and anti-fungal properties — keeping your complexion clear and fresh. 125ml</li>
</ul>",INCIA,Beauty & Personal Care,Personal Care,,TRUE,MINC-000021,8.00,,,,TRUE,TRUE,,,active
incia-kids-lip-balm-orange,INCIA Kids Lip Balm Orange,"<p>INCIA Kids Lip Balm Orange — 100% Natural Lip Balm for Children with Fun Orange Flavour Keep your child's lips soft, healthy and protected with INCIA Kids Lip Balm Orange. Made from 100% natural ingredients — olive oil, beeswax, shea butter, rosehip oil and coconut oil — this gentle lip balm is perfectly safe for young children. The fun, natural orange fragrance makes lip care enjoyable, while the pure formula provides genuine, long-lasting moisture without any harmful additives.</p>
<h3>Key Benefits</h3><ul>
  <li>100% natural formula — completely safe for children</li>
  <li>Olive oil and shea butter — nourish and deeply moisturise delicate lip skin</li>
  <li>Rosehip oil — natural vitamin C supports lip skin health and regeneration</li>
  <li>Coconut oil — naturally antibacterial and deeply hydrating</li>
  <li>Beeswax — creates a gentle protective barrier against wind and cold</li>
  <li>Natural orange fragrance — fun, child-friendly citrus scent</li>
  <li>Free from synthetic fragrances, paraffin, parabens and artificial colours</li>
  <li>Suitable for sensitive skin and all ages Why Choose INCIA Kids Lip Balm?Children's lips can dry out and chap quickly, especially in cold or sunny weather. INCIA Kids Lip Balm provides gentle, safe, natural protection that parents can feel confident about — free from harmful chemicals and made with only the purest natural ingredients. Perfect for school bags, sports kits and holiday packing</li>
</ul>
<p><em>Available in 6g stick.</em></p>",INCIA,Beauty & Personal Care,Baby & Pregnancy,"baby, lip-balm",TRUE,MINC-000011,5.95,,,,TRUE,TRUE,,,active
incia-kids-lip-balm-strawberry,INCIA Kids Lip Balm Strawberry,"<p>INCIA Kids Lip Balm Strawberry — 100% Natural Lip Balm for Children with Sweet Strawberry Scent Delight your little one with INCIA Kids Lip Balm Strawberry — a 100% natural, chemical-free lip balm that kids will actually love using. Made with shea butter, coconut oil, olive oil, calendula oil and alchemilla root extract, this specially crafted kids' formula provides gentle, long-lasting moisture while soothing and protecting delicate young lips. The sweet, natural strawberry scent makes lip care feel like a treat.</p>
<h3>Key Benefits</h3><ul>
  <li>100% natural formula — completely safe for young children</li>
  <li>Shea butter and coconut oil — intensively nourish and protect delicate lips</li>
  <li>Calendula oil — calming and soothing for sensitive or irritated lip skin</li>
  <li>Alchemilla root extract (Lady's Mantle) — traditional herbal ingredient to soothe and protect</li>
  <li>Olive oil — rich natural nourishment for dry or chapped lips</li>
  <li>Beeswax — forms a gentle protective barrier against wind and cold</li>
  <li>Vitamin E — antioxidant support for healthy lip skin</li>
  <li>Natural strawberry fragrance — irresistible scent that makes lip care fun for children Why Choose INCIA Kids Lip Balm?INCIA Kids Lip Balm Strawberry is formulated with extra-gentle, soothing ingredients like calendula and alchemilla specifically chosen for young, sensitive skin. Free from synthetic fragrances, paraffin and chemical additives — parents can feel confident that their child is getting nothing but pure, natural care</li>
</ul>
<p><em>Available in 6g stick.</em></p>",INCIA,Beauty & Personal Care,Baby & Pregnancy,"baby, lip-balm",TRUE,MINC-000113,5.95,,,,TRUE,TRUE,,,active
incia-lip-balm-bergamot-lemon,INCIA Lip Balm Bergamot & Lemon,"<p>INCIA Lip Balm Bergamot & Lemon is a 100% natural lip balm that keeps your lips soft, hydrated and protected throughout the day. Made entirely from plant-based ingredients with no synthetic fragrances, dyes or preservatives, it provides lasting lip care in all weather conditions.</p>
<h3>Key Benefits</h3><ul>
  <li>- 100% natural ingredients — no synthetic fragrances or colours- Beeswax creates a protective layer to prevent dryness- Shea butter protects against environmental factors and keeps lips supple- Coconut oil, castor oil and apricot kernel oil provide deep nourishment- Keeps lips glossy and radiant all day- Cruelty-free Naturally scented with refreshing bergamot and lemon essential oils. Ideal for everyday use in all weather — cold winters, hot summers, and everything in between. Free from paraffin, synthetic dyes and artificial fragrances. 6g</li>
</ul>",INCIA,Beauty & Personal Care,Personal Care,lip-balm,TRUE,MINC-000012,5.95,,,,TRUE,TRUE,,,active
incia-lip-balm-cinnamon,INCIA Lip Balm Cinnamon,"<p>INCIA Lip Balm Cinnamon — 100% Natural Lip Balm with Warming Cinnamon & Shea Butter Warm, nourish and protect your lips with INCIA Lip Balm Cinnamon. This 100% natural lip balm combines the deeply moisturising power of shea butter, coconut oil, castor oil and rosehip oil with the warming, subtly spicy scent of natural cinnamon. Free from synthetic fragrances, paraffin and artificial additives — just pure, natural lip care.</p>
<h3>Key Benefits</h3><ul>
  <li>Shea butter — rich in vitamins A and E, intensively nourishes and softens lips</li>
  <li>Coconut oil — antibacterial and deeply moisturising natural oil</li>
  <li>Castor oil — seals in moisture and creates a natural glossy finish</li>
  <li>Rosehip oil — natural vitamin C for lip skin regeneration</li>
  <li>Vitamin E — antioxidant protection and healing support</li>
  <li>Natural cinnamon — warming, subtly spicy fragrance from nature</li>
  <li>Free from paraffin, synthetic fragrances, parabens and artificial colours</li>
  <li>Suitable for all ages including sensitive skin Why Choose INCIA Natural Lip Balm?Many popular lip balms rely on paraffin (mineral oil) for their texture — a petroleum-derived ingredient that provides only surface-level moisture. INCIA's 100% natural blend genuinely nourishes your lips from the inside out, leaving them soft and healthy with lasting moisture rather than creating a cycle of reapplication</li>
</ul>
<p><em>Available in 6g stick.</em></p>",INCIA,Beauty & Personal Care,Personal Care,lip-balm,TRUE,MINC-000013,5.95,,,,TRUE,TRUE,,,active
